Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Статус МС,Битовая маска,2,hex,138
Статус ПН1.1A,Битовая маска,2,hex,140
Номер активного БРК, -,1,uint32_t,141
Количество перезапусков активного БРК, -,4,uint32_t,142
Статус ПН1.1Б,Битовая маска,2,hex,142
Статус ПН1.2,Битовая маска,2,hex,144
"Номер режима, в котором находится СмКА ", -,1,uint32_t,146
Статус ПН2.0,Битовая маска,2,hex,146
Мощность передатчика активного БРК,Вт,1,int32_t,147
Температура МК активного БРК,°C,1,int32_t,148
Статус Декор,Битовая маска,2,hex,148
Температура радиомодема активного БРК,°C,1,int32_t,149
Напряжение МС,В/24,1,int32_t,150
"Статус модуля активного БРК, битовая маска", -,2,hex,150
Ток МС,A/24,1,int32_t,151
Напряжение ПН1.1А,В/24,1,int32_t,152
Напряжение смещения на усилителе мощности активного БРК,В,2,uint32_t,152
Ток ПН1.1А,A/24,1,int32_t,153
Напряжение ПН1.1Б,В/24,1,int32_t,154
Уровень последнего принятого сигнала (RSSI) актив. БРК,дБм,1,int32_t,154
Отн. сигнал/шум последнего принят. сигнала (SNR) актив. БРК,дБ,1,int32_t,155
Ток ПН1.1Б,A/24,1,int32_t,155
Напряжение ПН1.2,В/24,1,int32_t,156
Неответы СЭС, -,4,uint32_t,156
Ток ПН1.2,A/24,1,int32_t,157
Напряжение ПН2.0,В/24,1,int32_t,158
Ток ПН2.0,A/24,1,int32_t,159
Напряжение Декор1,В/24,1,int32_t,160
Неответы СОП1, -,4,uint32_t,160
Ток Декор1,A/24,1,int32_t,161
Напряжение Декор2,В/24,1,int32_t,162
Ток Декор2,A/24,1,int32_t,163
Неответы СОП2, -,4,uint32_t,164
Температура МС,°С,1,int32_t,164
Температура ПН1.1А,°С,1,int32_t,165
Температура ПН1.1Б,°С,1,int32_t,166
Температура ПН1.2,°С,1,int32_t,167
Температура ПН2.0,°С,1,int32_t,168
Неответы МС, -,4,uint32_t,168
Статус пит. ПН,Битовая маска,1,hex,169
Память ИСС,%,1,uint32_t,170
Память Декор,%,1,uint32_t,171
Счетчик включений,Шт.,1,uint32_t,172
Дополнительные данные активного БРК, -,8,hex,172
Включить/выключить питание ПН (копия для ТМИ), - ,1,hex,173
Дополнительные данные МС - величина 1,Битовая маска,2,hex,174
Указатель записи памяти ПН ИСС,Кадр,2,int32_t,176
Указатель чтения памяти ПН ИСС,Кадр,2,int32_t,178
Количество перезапусков дежурного БРК, -,4,uint32_t,180
Полный объем памяти ПН ИСС,Кадр,2,int32_t,180
Указатель записи памяти ПН ДеКоР,Кадр,2,int32_t,182
Температура МК дежурного БРК,°C,1,int32_t,184
Указатель чтения памяти ПН ДеКоР,Кадр,2,int32_t,184
Температура радиомодема дежурного БРК,°C,1,int32_t,185
Полный объем памяти ПН ДеКоР,Кадр,2,int32_t,186
"Статус модуля дежурного БРК, битовая маска", -,2,hex,186
Дополнительные данные МС - величина 2, -,5,hex,188
Уровень последнего принятого сигнала (RSSI) деж. БРК,дБм,1,int32_t,188
Отн. сигнал/шум последнего принят. сигнала (SNR) деж. БРК,дБ,1,int32_t,189
Дополнительные данные дежурного БРК, -,8,hex,190
"Операции КА запрещенные с НКУ, битовая маска", -,1,hex,198
