Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Ток заряда/разряда АБ1 ветвь 1,мА,2,int16_t,145
Ток заряда/разряда АБ1 ветвь 2,мА,2,int16_t,147
Ток заряда/разряда АБ2 ветвь 1,мА,2,int16_t,149
Ток заряда/разряда АБ2 ветвь 2,мА,2,int16_t,151
Ток заряда/разряда АБ3 ветвь 1,мА,2,int16_t,153
Ток заряда/разряда АБ3 ветвь 2,мА,2,int16_t,155
Напряжение АБ1 ветвь 1 аккумулятор 1,мВ,2,uint16_t,157
Напряжение АБ1 ветвь 1 аккумулятор 2,мВ,2,uint16_t,159
Напряжение АБ1 ветвь 2 аккумулятор 1,мВ,2,uint16_t,161
Напряжение АБ1 ветвь 2 аккумулятор 2,мВ,2,uint16_t,163
Напряжение АБ2 ветвь 1 аккумулятор 1,мВ,2,uint16_t,165
Напряжение АБ2 ветвь 1 аккумулятор 2,мВ,2,uint16_t,167
Напряжение АБ2 ветвь 2 аккумулятор 1,мВ,2,uint16_t,169
Напряжение АБ2 ветвь 2 аккумулятор 2,мВ,2,uint16_t,171
Напряжение АБ3 ветвь 1 аккумулятор 1,мВ,2,uint16_t,173
Напряжение АБ3 ветвь 1 аккумулятор 2,мВ,2,uint16_t,175
Напряжение АБ3 ветвь 2 аккумулятор 1,мВ,2,uint16_t,177
Напряжение АБ3 ветвь 2 аккумулятор 2,мВ,2,uint16_t,179
Уровень заряда АБ1 ветвь 1,%,1,uint8_t,181
Уровень заряда АБ1 ветвь 2,%,1,uint8_t,182
Уровень заряда АБ2 ветвь 1,%,1,uint8_t,183
Уровень заряда АБ2 ветвь 2,%,1,uint8_t,184
Уровень заряда АБ3 ветвь 1,%,1,uint8_t,185
Уровень заряда АБ3 ветвь 2,%,1,uint8_t,186
Напряжение канала 1,мВ,2,uint16_t,187
Напряжение канала 2,мВ,2,uint16_t,189
Напряжение канала 3,мВ,2,uint16_t,191
Напряжение канала 4,мВ,2,uint16_t,193
Напряжение канала 5,мВ,2,uint16_t,195
Напряжение канала 6,мВ,2,uint16_t,197
"Состояние концевиков раскрыв. элементов, битовая маска", -,2,hex,199
Массив 2 данных о работе СЭС, -,60,hex,201
