Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Оценка времени остановки вращения,с,2,uint16_t,156
Коэффициент катушки +X,%/А,2,uint16_t,158
Коэффициент катушки -X,%/А,2,uint16_t,160
Коэффициент катушки +Y,%/А,2,uint16_t,162
Коэффициент катушки -Y,%/А,2,uint16_t,164
Коэффициент катушки +Z,%/А,2,uint16_t,166
Коэффициент катушки -Z,%/А,2,uint16_t,168
Вектор углов СД1,-,2,uint16_t,170
Вектор углов СД2,-,2,uint16_t,172
Вектор углов СД3,-,2,uint16_t,174
Вектор углов СД4,-,2,uint16_t,176
Вектор углов СД5,-,2,uint16_t,178
Вектор углов СД6,-,2,uint16_t,180
Вектор направления на Солнце в СК КА, -,6,3 * uint16_t,182
Вектор углов ДГ1,градус,2,2 * uint8_t,188
Вектор углов ДГ2,градус,2,2 * uint8_t,190
Вектор углов ДГ3,градус,2,2 * uint8_t,192
Вектор углов ДГ4,градус,2,2 * uint8_t,194
Вектор углов ДГ5,градус,2,2 * uint8_t,196
Вектор углов ДГ6,градус,2,2 * uint8_t,198
Вектор направления на Землю в СК КА, -,6,3 * uint16_t,200
Внутреннее время СОП для ТМИ3,мс,4,uint32_t,206
Дополнительные данные СОП - величина 2, -,11,hex,210
Вектор цели - приоритет 1  (копия для ТМИ), -,3,3 * int8_t,221
Вектор КА - приоритет 1  (копия для ТМИ), -,3,3 * int8_t,224
Вектор цели - приоритет 2  (копия для ТМИ), -,3,3 * int8_t,227
Вектор КА - приоритет 2  (копия для ТМИ), -,3,3 * int8_t,230
"Статус команды ""Задать вращение""   (копия для ТМИ)", -,1,uint8_t,233
ωx  (копия для ТМИ),градус/c,1,int8_t,234
ωy  (копия для ТМИ),градус/c,1,int8_t,235
ωz  (копия для ТМИ),градус/c,1,int8_t,236
Массив настроек матрицы СД (копия для ТМИ), -,16,16 * uint8_t,237
Массив настроек фотокамеры (копия для ТМИ), -,10,10 * uint8_t,253
"Статус команды ""Сделать снимок фотокамерой"" (копия для ТМИ)", -,1,uint8_t,263
"Камеры, которые должны сделать снимок (битовая маска) (коп. для ТМИ)", -,1,hex,264
"Статус команды ""Сделать датчиком СД"" (копия для ТМИ)", -,1,uint8_t,265
"СД, которые должны сделать снимок (битовая маска) (копия для ТМИ)", -,2,hex,266
"Статус команды ""Сделать снимок датчиком ДГ"" (копия для ТМИ)", -,1,uint8_t,268
"ДГ, которые должны сделать снимок (битовая маска) (коп. для ТМИ)", -,2,hex,269
Версия програмного обеспечения FW ТМИ3, -,1,uint8_t,271
